_id,duration,recorded_date,popularity,likes,views
105,1016,2003-02-02,2.976786477812116,66000,2217156
119,263,2006-03-03,2.9200287553307906,21000,719171
72,844,2004-02-02,2.9137237298213248,32000,1098251
121,1171,2004-02-02,2.9971741568434656,67000,2235439
117,297,2002-02-02,2.9212330407815816,25000,855803
115,187,2004-02-02,2.8639110387405338,14000,488842
8,1462,2002-02-02,2.796528862329035,13000,464862
171,1043,2007-03-03,2.856902781278884,17000,595050
169,286,2007-06-08,2.9489729382583367,18000,610382
155,1043,2007-06-06,2.949254864347099,23000,779858
140,1123,2007-03-03,2.9770802984713836,117000,3930025
154,1127,2007-06-04,2.9837441886919827,16000,536239
168,937,2007-06-07,2.977268554585738,36000,1209162
116,913,2002-02-02,2.952245255112708,61000,2066224
151,1055,2007-06-05,2.887332519021872,23000,796583
152,1316,2007-06-07,2.9380080305552836,21000,714770
158,592,2007-06-07,2.9792011136795438,22000,738453
130,712,2006-12-01,2.967448381450437,69000,2325230
163,1141,2007-03-03,2.978889312358448,102000,3424095
141,1049,2007-03-03,2.9870589016807334,67000,2243009
147,572,2007-03-03,2.9591736957763586,69000,2331732
139,356,2007-03-03,2.850586508174057,10000,350805
170,920,2007-03-03,2.926485513311412,25000,854267
162,479,2007-03-03,2.9946084266455144,164000,5476509
159,1014,2007-06-06,2.9521506777705935,41000,1388818
164,1035,2005-07-07,2.9730621750094928,79000,2657193
144,1016,2007-03-03,2.9424820424524496,35000,1189472
161,937,2007-03-03,2.9924483428604813,42000,1403533
138,200,2006-02-02,2.9761768490071017,13000,436802
128,1052,2007-03-03,2.9267958191976065,35000,1195847
127,1193,2007-03-03,2.9865630632268383,46000,1540232
143,921,2007-03-03,2.9412907854611996,28000,951963
157,1089,2007-06-05,2.9693649981362498,47000,1582830
153,238,2007-06-05,2.9733849013717215,108000,3632224
82,295,2007-03-09,2.955959317702359,57000,1928308
131,265,2007-03-03,2.9712124469332717,51000,1716471
142,1151,2006-02-02,2.9780678837037415,55000,1846835
146,983,2007-03-03,2.985215546447177,43000,1440432
148,532,2007-03-03,2.997856302139639,130000,4336432
33,1408,2005-02-02,2.980029544864345,42000,1409382
149,275,2007-03-03,2.920461986344535,19000,650582
156,1036,2007-06-06,2.986957626715349,59000,1975254
201,235,2007-03-03,2.9647894196548243,24000,809501
13,1307,2002-02-28,2.961811479801792,33000,1114183
193,1071,2007-09-09,2.972368859085937,45000,1513944
205,1068,2007-03-03,2.991643878394739,130000,4345437
191,1240,2004-02-02,2.9905585048220567,307000,10265641
179,198,2007-03-03,2.953838130689003,58000,1963547
209,2114,2002-02-02,2.872625187699941,22000,765850
165,364,2007-03-06,2.955399087241411,45000,1522637
183,286,2007-03-03,2.8490724234210036,14000,491388
190,949,2007-03-03,2.997120366751625,25000,834134
202,545,2007-03-03,2.9994178907500912,162000,5401048
206,308,2007-03-03,2.995693827400324,491000,16390193
182,1036,2007-03-03,2.943143182738583,25000,849432
192,939,2007-09-09,2.9354135630783684,44000,1498937
195,1151,2005-02-02,2.9528794265508154,28000,948227
51,1164,2005-02-02,2.978658840240564,32000,1074309
204,1062,2007-03-03,2.990169199771681,157000,5250539
203,361,2007-03-07,2.998699654786061,33000,1100477
172,945,2007-03-03,2.947024414529708,47000,1594829
194,948,2007-03-03,2.935595699085429,44000,1498844
199,901,2005-02-02,2.9919941641103796,299000,9993335
189,1324,2001-02-02,2.9636890585908056,67000,2260696
200,780,2007-03-03,2.9955344070826415,80000,2670642
188,626,2007-03-03,2.8992702899089084,16000,551863
181,1778,2007-03-03,2.9930535792101485,59000,1971231
176,1266,2003-02-02,2.92794771135841,26000,887994
178,1015,2007-03-03,2.9840057292910003,93000,3116616
167,1768,2002-02-02,2.9659717579163796,59000,1989230
177,1239,2007-01-01,2.8669673398664353,16000,558081
187,1122,2007-03-03,2.9703111299185605,73000,2457655
197,1014,2007-03-03,2.96341682795028,71000,2395883
207,1077,2007-03-03,2.9738050260137134,21000,706166
184,1400,2007-03-03,2.998231043684226,164000,5469892
185,1220,2007-06-06,2.9072126735091146,24000,825533
198,997,2007-06-06,2.9565744908942984,54000,1826438
145,1211,2003-02-02,2.9694094647117786,37000,1246039
196,238,2007-03-03,2.8882910126492707,20000,692451
210,1043,2005-07-07,2.9425061057001693,22000,747662
211,755,2002-02-02,2.815517082510008,11000,390692
224,388,2008-02-27,2.946414257178635,34000,1153945
215,1280,2002-02-02,2.9237089918034456,23000,786672
214,1032,2007-03-03,2.9622827350756493,56000,1890434
222,361,2007-03-03,2.881787284473831,16000,555211
212,805,2007-03-03,2.9282362501006585,16000,546404
227,934,2008-02-28,2.925480693046376,36000,1230567
219,1047,2002-03-03,2.98088780252089,19000,637394
218,1137,2002-02-02,2.9682766540167873,67000,2257202
216,1157,2005-02-02,2.9817995542591946,39000,1307935
221,498,2002-02-02,2.8884336717422223,25000,865521
228,1217,2007-03-03,2.9630946560587876,26000,877461
223,914,2002-02-02,2.998033981562091,26000,867235
220,307,2007-06-06,2.9664663953672985,7100,239342
213,923,2007-03-03,2.9208277879936198,23000,787448
225,182,2007-03-03,2.9928215038500507,14000,467786
230,1509,1984-02-02,2.9530386320093283,33000,1117493
208,1128,2007-03-03,2.997929191597207,67000,2234876
241,220,2007-03-03,2.8988395582893225,16000,551945
229,1104,2008-02-27,2.997301231380103,851000,28392208
232,1470,2008-02-28,2.9812619838886327,19000,637314
245,320,2008-02-28,2.9938544721556566,210000,7014369
239,210,2007-03-03,2.9337773116331607,12000,409029
243,1654,2008-03-03,2.9570604384016046,68000,2299581
242,598,2008-02-27,2.9984269047134897,403000,13440381
174,1903,2007-01-01,2.998937043425719,27000,900319
236,223,2008-02-29,2.974699699267456,62000,2084244
186,406,2007-06-06,2.9697987101695285,9500,319887
234,1273,2008-02-28,2.9667149417114684,60000,2022439
246,1221,2008-03-03,2.9511873610482615,18000,609924
231,2658,1990-03-03,2.891880837984442,21000,726171
237,1057,2006-02-28,2.998491758645401,100000,3335010
233,1455,2008-02-28,2.989999028250316,52000,1739131
235,244,2008-02-29,2.9709111567133895,41000,1380048
249,990,2007-06-06,2.898983794680588,13000,448433
247,1059,2005-07-07,2.893425494293522,27000,933150
255,1177,2007-06-06,2.8488973342867645,10000,351013
250,1352,2008-02-02,2.998887328720092,107000,3567990
252,177,2008-03-03,2.987678493783228,56000,1874365
264,1079,2008-02-29,2.9607765433617113,52000,1756296
254,1021,2007-03-03,2.8849269225818763,13000,450618
268,849,2007-06-06,2.9763185449746836,8300,278868
276,121,2007-03-03,2.9939859514452745,31000,1035409
270,995,2008-03-03,2.9623861597318615,49000,1654072
271,1020,2007-03-03,2.9741778746211835,19000,638832
278,1025,2003-03-03,2.9506039394496733,30000,1016741
260,2202,2002-03-03,2.9854932170498802,33000,1105345
279,660,2008-02-02,2.9572388115778323,61000,2062735
269,1154,2008-02-29,2.988317811868318,28000,936982
261,586,2008-03-03,2.9859822698199125,82000,2746165
267,924,2004-03-03,2.932749129706696,30000,1022931
30,1124,2005-07-12,2.9791690911206796,32000,1074125
292,227,2008-02-02,2.9198133380508353,17000,582229
266,1049,2008-02-29,2.9821369993737514,40000,1341320
280,1202,2002-02-02,2.9318002892134754,34000,1159697
273,1138,2008-02-02,2.99900351292366,66000,2200731
286,1213,2008-02-02,2.997031785827498,468000,15615450
285,197,2007-02-02,2.9240945390013713,29000,991760
263,1186,2007-12-12,2.9810612578077795,149000,4998220
287,120,2008-02-29,2.96756903592813,26000,876138
298,545,2007-03-03,2.9744715975143334,12000,403433
290,167,2008-02-12,2.9685004473655607,7100,239178
253,879,2008-03-03,2.994539492056462,129000,4307841
288,979,2007-12-12,2.8739053499800877,14000,487142
248,249,2008-03-03,2.9905731931953623,69000,2307250
251,1132,2005-02-02,2.9913777391537115,194000,6485306
258,1044,2008-03-03,2.989214688275562,239000,7995411
259,1052,2007-03-03,2.8844343775997863,19000,658708
265,373,2007-06-06,2.9423303256178897,3000,101960
297,1485,2007-12-12,2.96104742117445,42000,1418417
300,1086,2003-03-03,2.9694898416452054,11000,370434
299,1084,2007-06-06,2.864169619943786,15000,523712
315,916,2008-02-02,2.8921055529538964,26000,898999
282,227,2008-02-02,2.998500749625187,38000,1267300
301,1038,2007-12-02,2.98149386756403,90000,3018621
306,1131,2003-02-02,2.938819821821083,34000,1156927
294,954,2008-02-02,2.931928703582008,29000,989110
312,1408,2004-02-02,2.9950712635158125,203000,6777802
296,320,2008-02-02,2.9872064201318262,43000,1439472
313,140,2007-06-06,2.908794740899108,10000,343785
316,1208,2007-12-12,2.9209398935479682,27000,924360
308,1566,1998-02-02,2.981409421551913,120000,4024942
274,1232,2005-07-01,2.985626341754695,42000,1406740
319,1152,2007-12-12,2.987850652285146,56000,1874257
318,908,2003-02-02,2.970615159837283,9800,329898
310,1175,2004-02-02,2.9967486882133967,560000,18686919
307,936,2008-02-02,2.9967504074883635,215000,7174438
326,949,2008-02-02,2.957031912409094,49000,1657067
325,193,2008-02-02,2.9564701165913556,25000,845603
320,962,2007-06-06,2.925314072356314,22000,752056
322,165,2008-02-02,2.978624929257658,13000,436443
333,734,2007-02-02,2.97747919805426,35000,1175491
329,800,2007-12-12,2.8383507633873393,11000,387549
344,1498,2008-02-29,2.910262069099322,24000,824668
321,939,2008-02-02,2.9874572486081084,85000,2845229
340,1406,2007-06-06,2.9930669685129354,33000,1102548
330,978,2007-06-06,2.7994279835486946,12000,428659
346,1184,2007-12-12,2.867876910722992,16000,557904
331,970,2008-02-02,2.8964833072046403,24000,828591
334,335,2006-02-02,2.96952121738875,93000,3131818
327,1848,2005-02-02,2.9920859327079876,180000,6015870
324,879,2008-02-02,2.976603222172988,44000,1478195
175,1237,2007-02-02,2.9889989639825627,59000,1973905
328,865,2007-12-03,2.9936051987408434,39000,1302777
335,911,2005-07-07,2.8739275601200287,17000,591525
339,1878,2007-12-12,2.9732039989593786,8800,295977
217,811,2005-07-07,2.9318789209182046,39000,1330205
345,952,2002-02-02,2.9638280271964397,6700,226059
349,195,2008-02-02,2.973805783083255,89000,2992798
343,786,1998-02-28,2.9292365375734897,34000,1160712
351,793,2003-02-02,2.9559010675470065,19000,642782
358,887,2003-02-02,2.807059971756658,13000,463118
348,1160,2007-12-12,2.957638766073107,49000,1656727
354,1342,2003-02-28,2.951138778204455,49000,1660376
355,1107,2003-02-02,2.9469093236001127,21000,712611
356,271,2008-02-02,2.986041190571948,32000,1071653
341,1102,2008-03-01,2.984236127920466,126000,4222186
350,1086,2007-12-12,2.9310593895440737,14000,477643
360,331,2008-10-03,2.902890034378512,14000,482278
353,865,2007-03-01,2.949965835279396,43000,1457644
272,1376,2008-02-02,2.9936377521771997,234000,7816577
361,1246,2006-02-02,2.940798850075923,41000,1394179
359,1143,2007-12-12,2.9533845171277844,24000,812627
675,1102,2009-10-01,2.968685999451357,7900,266111
364,269,2003-02-02,2.9570051451889525,26000,879268
362,977,2003-02-02,2.8745131293387183,12000,417462
381,263,2003-02-28,2.8054256932908244,14000,499033
365,1081,2003-02-28,2.996713604080858,90000,3003290
377,996,2004-02-02,2.9423421043150344,49000,1665340
673,929,2009-10-01,2.964836171001286,6800,229355
371,1266,2008-02-02,2.995025841759259,62000,2070099
674,1017,2009-10-01,2.899042901693455,14000,482918
375,956,2004-02-02,2.991283859032297,13000,434596
386,1110,2007-06-06,2.8585653337017707,12000,419791
383,177,2008-02-02,2.9510427102376253,58000,1965407
374,980,2008-02-02,2.9958395278556904,72000,2403333
372,1038,2007-12-12,2.9791977516987633,12000,402793
366,1121,2004-02-29,2.9913217154999936,208000,6953448
363,1108,2008-02-02,2.9669870055540084,62000,2089662
676,990,2009-10-14,2.9481808086532384,18000,610546
379,1349,1998-02-02,2.9871304463270745,7200,241034
385,933,2005-02-02,2.8101971245198345,13000,462601
394,731,2003-02-02,2.989435274103478,9700,324476
388,711,2005-02-28,2.9694195470036275,13000,437796
677,1071,2009-10-01,2.9392667331119084,11000,374243
